# N9040B Phase Noise Log Plot export
# timestamp=20260311_145411
# carrier_freq_Hz=55000000.0
# start_offset_Hz_req=1.0
# stop_offset_Hz_req=100000000.0
# signal_tracking=False
# tracking_span_Hz=None
# auto_tune=False
# avg_enable=False
# avg_count=1
# avg_mode=REPeat
# smooth=4.0
# method=PN
# export_trace=smoothed
# compute_frequency_noise=True
# self_heterodyne_delay_freq_Hz=200000.0
# self_heterodyne_tau_s=5e-06
# self_heterodyne_zero_mask_Hz=0.0
# self_heterodyne_h2_epsilon=1e-12
# scalar_carrier_power_dBm=-0.96
# scalar_carrier_frequency_Hz=55000000.0
# scalar_rms_phase_noise_deg=197.6650987
# scalar_rms_phase_noise_rad=3.449906788
# scalar_residual_FM_Hz=744385.8515
# scalar_spot_noise_start_dBc_per_Hz=-0.2
# scalar_spot_noise_stop_dBc_per_Hz=-121.48
offset_Hz,phase_noise_dBc_per_Hz,phase_noise_raw_dBc_per_Hz,phase_noise_smoothed_dBc_per_Hz,freq_noise_psd_Hz2_per_Hz,freq_noise_asd_Hz_per_sqrtHz
630.9573,-32.58,-31.94,-32.58,559389.7119577576,747.9236003481623
650.6289,-32.25,-36.29,-32.25,603552.947645773,776.8867019365005
670.9137,-31.93,-34.01,-31.93,649705.1852070735,806.0429177203118
691.831,-31.55,-28.73,-31.55,709116.108423929,842.0903208230866
713.4004,-31.18,-25.95,-31.18,772179.7951085716,878.7376144837386
735.6423,-30.79,-29.27,-30.79,844733.2419731343,919.0937068510121
758.5776,-30.64,-29.38,-30.64,874421.4630482938,935.1050545517834
782.228,-30.53,-30.66,-30.53,896854.7459389449,947.0241527748618
806.6157,-30.44,-30.03,-30.44,915637.339363975,956.8894081156793
831.7638,-30.3,-27.38,-30.3,945638.110320322,972.4392579078253
857.6959,-29.94,-25.34,-29.94,1027369.1757076666,1013.5922137169694
884.4365,-29.58,-29.15,-29.58,1116164.47405198,1056.4868546517653
912.0108,-29.8,-26.86,-29.8,1061035.622414116,1030.0658340194166
940.4449,-29.62,-26.68,-29.62,1105940.7136334365,1051.6371587355766
969.7654,-29.69,-24.24,-29.69,1088262.9576754556,1043.198426798783
1000.0,-29.87,-27.26,-29.87,1044085.2830653053,1021.8049143869417
1031.1773,-30.13,-28.82,-30.13,983418.1881166536,991.6744365549883
1063.3266,-30.37,-32.27,-30.37,930551.988451106,964.6512263254041
1096.4782,-30.6,-32.1,-30.6,882557.8843276169,939.4455196165538
1130.6634,-30.93,-31.81,-30.93,817986.09026925,904.4258345874746
1165.9144,-31.39,-34.22,-31.39,735781.4091530928,857.7770159855606
1202.2644,-32.04,-29.47,-32.04,633507.6816191908,795.9319579079552
1239.7478,-32.68,-28.53,-32.68,546707.6550271595,739.3968183777636
1278.3997,-33.33,-36.88,-33.33,470715.6434914199,686.0871981690227
1318.2567,-34.17,-32.17,-34.17,387938.0053854304,622.8466949301653
1359.3564,-34.9,-35.64,-34.9,327918.75731023424,572.6419101936517
1401.7374,-35.84,-32.99,-35.84,264101.2394694844,513.9078122285011
1445.4398,-36.52,-31.91,-36.52,225826.48983754448,475.2120472352784
1490.5046,-37.31,-34.67,-37.31,188269.3443514189,433.9001548183855
1536.9745,-38.03,-34.71,-38.03,159508.79551409368,399.38552241423787
1584.8932,-38.7,-38.25,-38.7,136706.7564675558,369.7387678720691
1634.3058,-39.35,-40.69,-39.35,117705.20318099044,343.081919052856
1685.259,-39.97,-42.17,-39.97,102047.34341308422,319.44849884305955
1737.8008,-40.85,-40.24,-40.85,83331.29439322335,288.6716030253467
1791.9807,-41.59,-44.02,-41.59,70277.28241930404,265.09862772052224
1847.8498,-42.14,-46.14,-42.14,61918.75612498684,248.83479685322718
1905.4607,-42.83,-43.45,-42.83,52823.83739300858,229.83436947725764
1964.8678,-43.29,-45.9,-43.29,47515.81258024383,217.98122070546313
2026.127,-43.91,-42.84,-43.91,41195.22640631995,202.96607205717893
2089.2961,-44.61,-47.11,-44.61,35063.57394195691,187.2527007601143
2154.4347,-45.2,-48.88,-45.2,30610.192106736125,174.95768661803953
2221.6041,-45.75,-47.4,-45.75,26969.72730181702,164.2246245293836
2290.8677,-46.85,-46.83,-46.85,20935.711270262855,144.69178024429326
2362.2907,-47.51,-48.3,-47.51,17984.550691661552,134.10649011759853
2435.9404,-47.94,-49.84,-47.94,16289.667371431473,127.63098123665536
2511.8864,-48.49,-45.51,-48.49,14352.436688488524,119.80165561664214
2590.2002,-48.84,-49.56,-48.84,13241.583193856137,115.07207825470147
2670.9556,-48.96,-48.02,-48.96,12881.163451569253,113.49521334210202
2754.2287,-49.28,-46.31,-49.28,11966.61255514215,109.39201321459511
2840.098,-49.63,-47.11,-49.63,11040.491077757762,105.07374114286482
2928.6446,-49.99,-48.13,-49.99,10162.642285102156,100.8099314804953
3019.9517,-49.96,-48.29,-49.96,10233.543567541994,101.16097848252554
3114.1056,-50.15,-47.19,-50.15,9795.952611736375,98.97450485724278
3211.1949,-50.62,-63.57,-50.62,8791.61406316243,93.76360734934653
3311.3112,-51.15,-56.01,-51.15,7782.012860038977,88.21571776071981
3414.5489,-51.59,-51.88,-51.59,7032.6135143661995,83.86067919094263
3521.0052,-52.01,-52.96,-52.01,6384.73871049743,79.90456001066165
3630.7805,-52.88,-52.01,-52.88,5226.021325610887,72.29122578578183
3743.9784,-53.65,-49.09,-53.65,4377.246488517288,66.16076245417133
3860.7054,-54.38,-50.6,-54.38,3700.264060423976,60.82979582757101
3981.0717,-55.06,-54.13,-55.06,3164.21832254115,56.251385072202
4105.1907,-55.8,-51.03,-55.8,2668.7156388751837,51.659613228083536
4233.1793,-56.49,-46.43,-56.49,2276.8815175355885,47.716679657490715
4365.1583,-57.33,-53.38,-57.33,1876.6400405724746,43.320203607237055
4501.2521,-58.23,-58.16,-58.23,1525.5417353017183,39.0581839734225
4641.5888,-58.45,-59.07,-58.45,1450.3403837234323,38.0833347243047
4786.3009,-59.0,-58.39,-59.0,1277.9642073991579,35.74862525187728
4935.5247,-59.81,-59.43,-59.81,1060.6461737675152,32.56756321506899
