# N9040B Phase Noise Log Plot export
# timestamp=20260129_191311
# carrier_freq_Hz=55000000.0
# start_offset_Hz_req=10.0
# stop_offset_Hz_req=100000000.0
# signal_tracking=True
# tracking_span_Hz=None
# auto_tune=True
# avg_enable=True
# avg_count=10
# avg_mode=REPeat
# smooth=4.0
# method=PN
# export_trace=smoothed
# compute_frequency_noise=True
# self_heterodyne_delay_freq_Hz=200000.0
# self_heterodyne_tau_s=5e-06
# self_heterodyne_zero_mask_Hz=0.0
# self_heterodyne_h2_epsilon=1e-12
# sa_enabled=True
# sa_center_freq_Hz=55000000.0
# sa_span_Hz=1000000.0
# sa_rbw_Hz=100.0
# sa_trace_name=TRACE1
# sa_avg_enable=True
# sa_avg_count=10
# sa_avg_method=manual_power_average_mW
# scalar_carrier_power_dBm=-2.25
# scalar_carrier_frequency_Hz=54999979.6
# scalar_rms_phase_noise_deg=12.87906482
# scalar_rms_phase_noise_rad=0.2247820856
# scalar_residual_FM_Hz=1023013.743
# scalar_spot_noise_start_dBc_per_Hz=-34.5
# scalar_spot_noise_stop_dBc_per_Hz=-119.07
offset_Hz,phase_noise_dBc_per_Hz,phase_noise_raw_dBc_per_Hz,phase_noise_smoothed_dBc_per_Hz,freq_noise_psd_Hz2_per_Hz,freq_noise_asd_Hz_per_sqrtHz
4105.1907,-64.84,-65.54,-64.84,665.7823784270455,25.802759124307723
4216.965,-64.84,-64.65,-64.84,665.8333313329023,25.80374645924313
4331.7827,-64.92,-64.05,-64.92,653.7332924368768,25.568208627842445
4449.7267,-64.94,-65.43,-64.94,650.7851132038369,25.51049025800635
4570.8819,-65.07,-65.88,-65.07,631.6502324381397,25.132652713912627
4695.3359,-65.25,-64.91,-65.25,606.063133580865,24.618349529992155
4823.1785,-65.29,-64.43,-65.29,600.5668397140541,24.50646526355962
4954.5019,-65.32,-65.2,-65.32,596.4955827783092,24.423259053171204
5089.401,-65.41,-65.84,-65.41,584.3265887739482,24.17284817256643
5227.973,-65.51,-65.48,-65.51,571.0928709051918,23.89754947489788
5370.318,-65.6,-65.55,-65.6,559.4491911904735,23.65267830903032
5516.5387,-65.67,-65.91,-65.67,550.5763330981262,23.46436304479894
5666.7406,-65.68,-65.73,-65.68,549.3859763011839,23.438984114103235
5821.0322,-65.76,-66.54,-65.76,539.4372280569723,23.225787996470054
5979.5247,-65.87,-65.1,-65.87,526.026664280177,22.935271183924925
6142.3327,-65.94,-66.13,-65.94,517.7001550014206,22.753025183509568
6309.5734,-65.92,-67.37,-65.92,520.1788936942944,22.807430668409243
6481.3678,-66.04,-65.5,-66.04,506.09409437680347,22.49653516381586
6657.8397,-66.12,-64.49,-66.12,496.95166586223604,22.29241274205724
6839.1165,-66.16,-66.05,-66.16,492.4947555497804,22.19222286184465
7025.329,-66.23,-67.34,-66.23,484.72330519174966,22.016432617291787
7216.6116,-66.28,-66.73,-66.28,479.28218871826664,21.892514444856868
7413.1024,-66.36,-66.47,-66.36,470.64566101275994,21.694369338903584
7614.9432,-66.46,-65.77,-66.46,460.04732131456444,21.448713744990968
7822.2796,-66.54,-66.57,-66.54,451.7695393622711,21.254870956142526
8035.2612,-66.58,-66.63,-66.58,447.75217814710294,21.160155437687667
8254.0419,-66.68,-66.91,-66.68,437.6885063334679,20.921006341317998
8478.7793,-66.7,-65.58,-66.7,435.81243645109504,20.87612120225151
8709.6359,-66.71,-67.56,-66.71,434.9521961422346,20.855507573354206
8946.7781,-66.79,-66.28,-66.79,427.16069031540803,20.667866128737337
9190.3771,-66.91,-66.21,-66.91,415.67059999222573,20.388001373166173
9440.6088,-66.94,-67.42,-66.94,412.96768785974683,20.32160642911251
9697.6536,-66.95,-66.5,-66.95,412.18487800146573,20.30233676209381
9961.6971,-66.96,-67.53,-66.96,411.4127684076892,20.283312560025525
10232.9299,-67.02,-68.17,-67.02,405.951121500854,20.14822874351128
10511.5477,-67.08,-67.62,-67.08,400.57197484980105,20.01429426309609
10797.7516,-67.11,-67.32,-67.11,398.0144270474939,19.95029892125664
11091.7482,-67.16,-67.41,-67.16,393.6671155127551,19.841046230296303
11393.7495,-67.21,-66.73,-67.21,389.3787092595507,19.732681248617755
11703.9736,-67.31,-67.54,-67.31,380.74017927846893,19.512564651487228
12022.6443,-67.31,-67.25,-67.31,380.9775724923771,19.518646789477415
12349.9917,-67.38,-67.39,-67.38,375.1328433609352,19.368346428152694
12686.252,-67.46,-66.68,-67.46,368.54165075778997,19.197438650970863
13031.6678,-67.47,-67.48,-67.47,367.96350856695676,19.182374945948606
13386.4884,-67.56,-67.12,-67.56,360.69534578898345,18.99198109173931
13750.97,-67.58,-67.73,-67.58,359.3311906905529,18.956033094784175
14125.3754,-67.59,-67.11,-67.59,358.81361824799535,18.94237625663674
14509.9751,-67.61,-67.37,-67.61,357.4897816914388,18.90740018329963
14905.0464,-67.66,-67.74,-67.66,353.7367752916723,18.807891303696763
15310.8746,-67.67,-68.12,-67.67,353.2806680291587,18.79576196990052
15727.7525,-67.75,-67.89,-67.75,347.203342953299,18.633393221667895
16155.981,-67.8,-67.49,-67.8,343.61621017890263,18.536887823442818
16595.8691,-67.87,-67.89,-67.87,338.52484009437757,18.399044542974984
17047.7342,-67.92,-68.09,-67.92,335.07043113593573,18.304929148618296
17511.9026,-68.01,-67.66,-68.01,328.6335739523209,18.12825347219971
17988.7092,-68.08,-68.52,-68.08,323.8319575851588,17.995331549742527
18478.498,-68.17,-68.06,-68.17,317.6590354099968,17.822991763730265
18981.6226,-68.21,-68.43,-68.21,315.2378348630003,17.75493832326658
19498.446,-68.29,-67.97,-68.29,309.993840152651,17.606641932880073
20029.3413,-68.36,-68.6,-68.36,305.5677380298239,17.480495932033048
20574.6916,-68.43,-67.6,-68.43,301.2339125802546,17.356091512211343
21134.8904,-68.48,-68.44,-68.48,298.36268109771936,17.273178083309375
21710.3421,-68.52,-68.87,-68.52,296.23194843583394,17.211390078544902
22301.4619,-68.55,-68.72,-68.55,294.8279590885411,17.1705550023446
22908.6765,-68.59,-68.63,-68.59,292.79090706984886,17.111134008879976
23532.4241,-68.62,-68.7,-68.62,291.4751813996491,17.072644241582765
24173.1548,-68.69,-69.13,-68.69,287.54363001476406,16.95711148794995
24831.3311,-68.74,-69.11,-68.74,285.014771512861,16.88238050491876
25507.4278,-68.8,-68.68,-68.8,281.9005326232423,16.78989376450138
26201.9331,-68.82,-69.09,-68.82,281.4446488356805,16.77631213454496
26915.348,-68.76,-68.89,-68.76,286.261234013288,16.91925630792583
27648.1875,-68.79,-69.27,-68.79,285.2388149299829,16.889014622824593
28400.9805,-68.88,-69.23,-68.88,280.3726090307838,16.744330653411733
29174.2701,-68.87,-68.96,-68.87,282.0642229627987,16.79476772577694
29968.6146,-68.87,-68.2,-68.87,283.1722813542683,16.827723593946637
30784.5871,-68.91,-68.84,-68.91,281.7402710718555,16.785120525985374
31622.7766,-68.96,-68.62,-68.96,279.73577314481855,16.725303379754237
32483.7879,-68.97,-69.34,-68.97,280.38433068015144,16.744680668204797
33368.2425,-69.05,-69.55,-69.05,276.6127670605524,16.631679622351808
34276.7787,-69.06,-69.59,-69.06,277.40220890246894,16.65539578942719
35210.052,-69.01,-68.92,-69.01,282.1458499828705,16.79719768243711
36168.7361,-68.77,-66.61,-68.77,299.89604091993806,17.31750677551298
37153.5229,-68.7,-69.25,-68.7,306.62587730528406,17.510736058352432
38165.123,-68.54,-69.66,-68.54,320.18135355944094,17.893612088101186
39204.2666,-68.37,-68.1,-68.37,335.22861343351065,18.30924939568825
40271.7034,-68.25,-68.95,-68.25,347.098801897185,18.63058780331917
41368.204,-68.1,-69.58,-68.1,362.0277651519795,19.02702722844479
